"","X.2","X.1","X","Student","Gender","IPEDS.Ethnicity","Low.Income","First.Generation","Admit.Type","Evaluated.High.School.GPA","Highlander.Scholarship","Chancellor.s.Scholarship","Regents..Scholarship","Previous.School","College","Major","UCR.Entry.Action","Admitted.Honors.Cohort","Permanent.City","Permanent.State","Capstone.Project.Completion","County","Region"
"769",769,769,769,769,"F","HISPANIC OR LATINO","Y","N","Freshman",4.14,"N","N","N",NA,"HS","SCAT","First Time Freshman","First Year","Los Angeles","CA","N","Los Angeles","8"
"770",770,770,770,770,"F","HISPANIC OR LATINO","N","N","Freshman",NA,"N","N","N","Hillsdale High School","HS","PSYC","First Time Freshman","First Year","Foster City","CA","Yes","San Mateo","3"
"771",771,771,771,771,"F","MULTI-RACIAL","Y","Y","Transfer",NA,"N","N","N","Fullerton College","BU","BSAD","First Time Transfer","Other","Fontana","CA","N","San Bernardino","7"
"772",772,772,772,772,"F","HISPANIC OR LATINO","Y","N","Freshman",3.86,"N","N","N","Liberty High School",NA,"STAT","First Time Freshman","Third Year","Madera","CA","Yes","Madera","4"
"773",773,773,773,773,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,NA,"BCH","First Time Transfer","Incoming Transfer","Bermuda Dunes","CA","N","Other","Other"
"774",774,774,774,774,"F","HISPANIC OR LATINO","Y","Y","Freshman",4.04,"N","N","N",NA,NA,"BIOL","First Time Freshman","First Year","Hawaiian Gardens","CA","N","Los Angeles","8"
"775",775,775,775,775,"M","HISPANIC OR LATINO","N","Y","Transfer",NA,"N","N","N",NA,"HS","SOC","First Time Transfer","Incoming Transfer","SAN DIEGO","CA","N","Other","Other"
"776",776,776,776,776,"F","WHITE","N","Y","Freshman",4,"N","N","N",NA,"HS","PSYC","First Time Freshman","First Year","Riverside","CA","N","Riverside","7"
"777",777,777,777,777,"M","MULTI-RACIAL","N","N","Freshman",3.88,"N","N","N","Calvary Chapel High School",NA,"BIOL","First Time Freshman","Second Year","Huntington Beach","CA","N","Orange","9"
"778",778,778,778,778,"F","WHITE","N","N","Freshman",NA,"N","Y","N",NA,"EN","BEBM","First Time Freshman","First Year","Murrieta","CA","Yes","Riverside","7"
"779",779,779,779,779,"F","HISPANIC OR LATINO","N","Y","Freshman",NA,"N","N","N",NA,NA,"ENSC","First Time Freshman","First Year","Riverside","CA","N","Riverside","7"
"780",780,780,780,780,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.41,"N","N","N",NA,"HS","SOC","First Time Freshman","Second Year","San Francisco","CA","N","San Francisco","3"
"781",781,781,781,781,"F","HISPANIC OR LATINO","Y","Y","Freshman",3.69,"N","N","N","Arlington High School","HS","PSYC","First Time Freshman","Second Year","Riverside","CA","N","Riverside","7"
"782",782,782,782,782,"M","WHITE","N","N","Freshman",3.87,"N","N","N","Amador Valley High School","EN","MCBM","First Time Freshman","Second Year","Dublin","CA","Yes","Alameda","3"
"783",783,783,783,783,"M","MULTI-RACIAL","Y","Y","Transfer",NA,"N","N","N","Mount San Jacinto College",NA,"NURO","First Time Transfer","Other","Wildomar","CA","N","Riverside","7"
"784",784,784,784,784,"F","WHITE","N","Y","Transfer",NA,"N","N","N",NA,NA,"BCH","First Time Transfer","Incoming Transfer","Apple Valley","CA","N","San Bernardino","7"
"785",785,785,785,785,"F","WHITE","N","N","Freshman",3.96,"Y","N","N","University High School",NA,"BIOL","First Time Freshman","Other","Placentia","CA","Yes","Orange","9"
"786",786,786,786,786,"F","HISPANIC OR LATINO","N","N","Transfer",NA,"N","N","N",NA,"HS","ANTH","First Time Transfer","Incoming Transfer","Alta Loma","CA","Yes","Other","Other"
"787",787,787,787,787,"F","HISPANIC OR LATINO","Y","Y","Transfer",NA,"N","N","N",NA,"HS","LBST","First Time Transfer","Incoming Transfer","Rialto","CA","Yes","San Bernardino","7"
"788",788,788,788,788,"M","WHITE","N","N","Freshman",4.04,"N","Y","N","Dana Hills High School","HS","HIST","First Time Freshman","Other","Laguna Niguel","CA","N","Orange","9"
"789",789,789,789,789,"F","MULTI-RACIAL","N","N","Freshman",4.25,"Y","N","N","El Diamante High School",NA,"BCH","First Time Freshman","Second Year","Visalia","CA","Yes","Tulare","6"
"790",790,790,790,790,"F","MULTI-RACIAL","N","N","Freshman",3.58,"N","N","N","El Dorado High School",NA,"BIOL","First Time Freshman","Third Year","Placentia","CA","N","Orange","9"
"791",791,791,791,791,"F","WHITE","Y","N","Freshman",NA,"N","Y","N","Yucaipa Senior High School",NA,"BIOL","First Time Freshman","Third Year","Yucaipa","CA","Yes","San Bernardino","7"
"792",792,792,792,792,"M","Other","N","N","Transfer",NA,"N","N","N",NA,"HS","MCS","First Time Transfer","Incoming Transfer","Oceanside","CA","N","San Diego","10"
"793",793,793,793,793,"F","ASIAN","N","Y","Transfer",NA,"N","N","N",NA,"HS","PSYC","First Time Transfer","Incoming Transfer","Norco","CA","Yes","Riverside","7"
"794",794,794,794,794,"M","ASIAN","N","Y","Freshman",4.21,"N","N","N","Public Safety Academy",NA,"BCH","First Time Freshman","Second Year","San Bernardino","CA","N","San Bernardino","7"
